musical group,1,1,1,1
ethnic group,1,1,1,1
fine art,1,1,1,1
martial art,1,1,1,1
financial year,1,1,1,1
academic year,1,1,1,1
middle class,1,1,1,1
first class,1,1,1,1
main line,1,1,1,1
straight line,1,1,1,1
prime time,1,1,1,1
extra time,1,1,1,1
magical power,1,1,1,1
nuclear power,1,1,1,1
human body,1,1,1,1
legislative body,1,1,1,1
square foot,1,1,1,1
webbed foot,1,1,1,1
real property,1,1,1,1
intellectual property,1,1,1,1
social work,1,1,1,1
literary work,1,1,1,1
old man,1,1,1,1
military man,1,1,1,1
industrial plant,1,1,1,1
herbaceous plant,1,1,1,1
athletic field,1,1,1,1
magnetic field,1,1,1,1
solid state,1,1,1,1
mental state,1,1,1,1
